scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
1,Admin-0 map subunit,9,Cyprus No Mans Area,CNM,0,2,Indeterminate,Cyprus No Mans Area,CNM,0,Cyprus No Mans Area,CNM,0,Cyprus No Mans Area,CNM,1,Cyprus U.N. Buffer Zone,Cyprus U.N. Buffer Zone,B43,Cyprus U.N. Buffer Zone,,,,Cyprus No Mans Land,,,,Cyprus No Mans Area,,4,1,1,-99,10000,280,2012,-99,2012,6. Developing region,2. High income: nonOECD,0,,-99,-99,-99,-099,-99,-99,-99,CYP,CYP,-99,-99,Asia,Asia,Western Asia,Europe & Central Asia,23,23,0,-99,1
5,Admin-0 map subunit,5,Australia,AU1,1,3,Geo unit,Indian Ocean Territories,IOA,1,Christmas Island,CXR,0,Christmas Island,CXR,0,Christmas I.,Christmas Island,CXR,Christmas I.,,Chris. I.,CX,Territory of Christmas Island,,Auz.,,Christmas Island,,1,2,2,7,1448,21.72,0,-99,-99,2. Developed region: nonG7,2. High income: nonOECD,-99,,CX,CXR,162,162,-99,-99,-99,CXR,IOA,-99,-99,Asia,Asia,South-Eastern Asia,East Asia & Pacific,12,16,9,-99,-99
1,Admin-0 map subunit,6,Northern Cyprus,CYN,0,2,Sovereign country,Northern Cyprus,CYN,0,Northern Cyprus,CYN,0,Northern Cyprus,CYN,1,N. Cyprus,Northern Cyprus,B20,N. Cyprus,,N. Cy.,CN,Turkish Republic of Northern Cyprus,,Self admin.,Self admin.; Claimed by Cyprus,"Cyprus, Northern",,3,1,4,8,265100,3600,-99,-99,-99,6. Developing region,3. Upper middle income,-99,,-99,-99,-99,-099,-99,-99,-99,CYP,CYP,-99,-99,Asia,Asia,Western Asia,Europe & Central Asia,9,15,6,-99,1
1,Admin-0 map subunit,5,Cyprus,CYP,0,2,Sovereign country,Cyprus,CYP,0,Cyprus,CYP,0,Cyprus,CYP,0,Cyprus,Cyprus,CYP,Cyprus,,Cyp.,CY,Republic of Cyprus,,,,Cyprus,,1,2,3,7,531640,22700,-99,2001,-99,6. Developing region,2. High income: nonOECD,-99,,CY,CYP,196,196,CY,CYP,-99,CYP,CYP,-99,-99,Asia,Asia,Western Asia,Europe & Central Asia,6,6,4,-99,1
3,Admin-0 map subunit,3,United Kingdom,GB1,1,2,Dependency,Dhekelia Sovereign Base Area,ESB,0,Dhekelia Sovereign Base Area,ESB,0,Dhekelia Sovereign Base Area,ESB,0,Dhekelia,Dhekelia,ESB,Dhekelia,,Dhek.,DH,,,U.K. Base,,Dhekelia Soverign Base Area,,6,6,6,3,7850,314,-99,-99,-99,2. Developed region: nonG7,2. High income: nonOECD,-99,,-99,-99,-99,-099,-99,-99,-99,GBR,ESB,-99,-99,Asia,Asia,Western Asia,Europe & Central Asia,8,8,5,3,-99
0,Admin-0 map subunit,6,Israel,ISR,1,3,Geo unit,Palestine,PSX,1,Gaza,GAZ,0,Gaza,GAZ,1,Gaza,Gaza,B53,Gaza,,Gaza,GZ,Gaza Strip,,,,Gaza Strip,,3,2,5,8,1604238,0.77,-99,-99,-99,7. Least developed region,5. Low income,-99,,-99,-99,275,-099,-99,-99,-99,PSE,PSX,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,4,4,4,-99,-99
0,Admin-0 map subunit,7,Georgia,GEO,0,3,Geo unit,Georgia,GEO,1,Ajaria,GEA,0,Ajaria,GEA,0,Adjara,Adjara,GEA,Ajaria,,Ajaria,AJ,Autonomous Republic of Adjara,,,,Adjara,"Adjara, Ajara",5,1,3,2,376016,1752.262207,0,-99,-99,6. Developing region,4. Lower middle income,0,,-99,-99,-99,-099,-99,-99,-99,GEO,GEO,-99,-99,Asia,Asia,Western Asia,Europe & Central Asia,6,6,6,-99,1
0,Admin-0 map subunit,5,Georgia,GEO,0,3,Geo unit,Georgia,GEO,1,Georgia,GEG,0,Georgia,GEG,0,Georgia,Georgia,GEG,Georgia,,Geo.,GE,,,,,Georgia,,5,1,3,2,4239791,19757.737793,-99,-99,-99,6. Developing region,4. Lower middle income,-99,,-99,-99,-99,-099,-99,-99,-99,GEO,GEO,-99,-99,Asia,Asia,Western Asia,Europe & Central Asia,7,7,4,-99,1
0,Admin-0 map subunit,4,China,CH1,1,2,Country,Hong Kong S.A.R.,HKG,0,Hong Kong S.A.R.,HKG,0,Hong Kong S.A.R.,HKG,0,Hong Kong,Hong Kong,HKG,Hong Kong,,H.K.,HK,"Hong Kong Special Administrative Region, PRC",,China,,"Hong Kong SAR, China",,4,4,4,3,7061200,351119,2010,2006,2011,6. Developing region,2. High income: nonOECD,0,,HK,HKG,344,344,HK,HKG,-99,HKG,HKG,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,9,9,4,-99,-99
0,Admin-0 map subunit,2,Indonesia,IDN,0,2,Sovereign country,Indonesia,IDN,0,Indonesia,IDN,0,Indonesia,IDN,0,Indonesia,Indonesia,IDN,Indonesia,,Indo.,INDO,Republic of Indonesia,,,,Indonesia,,6,6,6,11,240271522,914600,-99,2010,-99,4. Emerging region: MIKT,4. Lower middle income,-99,,ID,IDN,360,360,ID,IDN,-99,IDN,IDN,-99,-99,Asia,Asia,South-Eastern Asia,East Asia & Pacific,9,9,5,-99,1
